mutant_id,subject,fault_category,operator,primary_line,F_total,P_total,composite_hit,composite_best_rank,condition_best_rank,edge_best_rank,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit,poor_reasons
AddLoop_M3,AddLoop,condition,ROR,14,2,203,False,,,,2,False,False,2,False,False,2,False,False,composite_no_hit;condition_fault_condition_miss_top3
BubbleSortFive_M2,BubbleSort,condition,ROR,30,60,48,False,,6,,4,False,False,8,False,False,10,False,False,composite_no_hit;condition_fault_condition_miss_top3
GappedSwapFive_M2,GappedSwapFive,condition,ROR,18,60,6,False,,4,,4,False,False,8,False,True,12,False,True,composite_no_hit;condition_fault_condition_miss_top3;top2_sfl_hits_folded_misses;top3_sfl_hits_folded_misses
LoopBubbleSortFive_M1,LoopBubbleSortFive,condition,ROR,10,24,0,False,,4,,2,False,False,3,False,False,4,False,True,composite_no_hit;condition_fault_condition_miss_top3;top3_sfl_hits_folded_misses
LoopBubbleSortFive_M2,LoopBubbleSortFive,condition,CR,20,24,24,False,,8,,4,False,False,6,False,False,6,False,False,composite_no_hit;condition_fault_condition_miss_top3
LoopBubbleSortFive_M3,LoopBubbleSortFive,condition,ROR,15,24,0,False,,6,,2,False,False,3,False,False,4,False,False,composite_no_hit;condition_fault_condition_miss_top3
LoopSelectionSortFive_M1,LoopSelectionSortFive,condition,ROR,21,127,23,False,,6,,4,False,False,6,False,False,8,False,True,composite_no_hit;condition_fault_condition_miss_top3;top3_sfl_hits_folded_misses
LoopSelectionSortFive_M3,LoopSelectionSortFive,condition,ROR,32,74,49,False,,9,,4,False,False,8,False,False,10,False,False,composite_no_hit;condition_fault_condition_miss_top3
MedianOfSix_M2,MedianOfSix,condition,ROR,19,120,72,False,,4,,2,False,False,6,False,True,10,False,True,composite_no_hit;condition_fault_condition_miss_top3;top2_sfl_hits_folded_misses;top3_sfl_hits_folded_misses
MedianOfSix_M6,MedianOfSix,statement,RVR,67,384,0,False,,,5,4,False,False,8,False,True,12,False,True,composite_no_hit;statement_fault_edge_miss_top3;top2_sfl_hits_folded_misses;top3_sfl_hits_folded_misses
MedianWindowFive_M2,MedianWindowFive,condition,ROR,18,44,22,False,,4,,5,False,False,9,False,False,13,False,True,composite_no_hit;condition_fault_condition_miss_top3;top3_sfl_hits_folded_misses
OddEvenSortFive_M2,OddEvenSortFive,condition,ROR,22,48,0,False,,6,,2,False,False,4,False,False,8,False,True,composite_no_hit;condition_fault_condition_miss_top3;top3_sfl_hits_folded_misses
SelectionSortFive_M1,SelectionSort,condition,ROR,5,87,141,False,,4,,2,False,False,4,False,True,6,False,True,composite_no_hit;condition_fault_condition_miss_top3;top2_sfl_hits_folded_misses;top3_sfl_hits_folded_misses
SelectionSortFive_M2,SelectionSort,condition,ROR,35,216,48,False,,8,,2,False,False,7,False,False,9,False,False,composite_no_hit;condition_fault_condition_miss_top3
SelectionSortFive_M3,SelectionSort,condition,ROR,72,255,40,False,,13,,2,False,False,7,False,False,9,False,False,composite_no_hit;condition_fault_condition_miss_top3
TailRotateSortFive_M3,TailRotateSortFive,condition,ROR,20,48,0,False,,5,,2,False,False,4,False,False,8,False,True,composite_no_hit;condition_fault_condition_miss_top3;top3_sfl_hits_folded_misses
TailRotateSortFive_M6,TailRotateSortFive,statement,SUR,25,24,64,False,,,4,4,False,False,8,False,False,12,False,False,composite_no_hit;statement_fault_edge_miss_top3
WaterBillCaculator_M1,WaterBillCaculator,condition,BOR,5,1,31,False,,4,,3,False,False,5,False,False,7,False,False,composite_no_hit;condition_fault_condition_miss_top3
LoopBubbleSortFive_M5,LoopBubbleSortFive,statement,SUR,25,24,12,True,2,,2,4,False,False,8,False,False,11,False,True,top3_sfl_hits_folded_misses
MedianWindowFive_M6,MedianWindowFive,statement,RVR,38,76,8,True,2,,2,4,False,False,8,False,True,10,True,True,top2_sfl_hits_folded_misses
OddEvenSortFive_M4,OddEvenSortFive,statement,SUR,19,24,40,True,2,,2,5,False,True,9,False,True,13,False,True,top1_sfl_hits_folded_misses;top2_sfl_hits_folded_misses;top3_sfl_hits_folded_misses
RewardCapLoop_M4,RewardCapLoop,statement,CR,13,22,66,True,2,,2,3,False,True,5,True,True,6,True,True,top1_sfl_hits_folded_misses
ScoreNormalizer_M4,ScoreNormalizer,statement,AOR,14,60,108,True,2,,2,2,False,True,5,True,True,6,True,True,top1_sfl_hits_folded_misses
WaterBillCaculator_M2,WaterBillCaculator,condition,ROR,9,27,4,True,2,2,,3,False,True,5,True,True,7,True,True,top1_sfl_hits_folded_misses
WaterBillCaculator_M5,WaterBillCaculator,statement,CR,12,27,4,True,2,,2,3,False,True,5,True,True,7,True,True,top1_sfl_hits_folded_misses
MaxOfFive_M2,MaxOfFive,condition,ROR,13,62,16,True,3,3,,2,False,False,6,False,True,10,True,True,top2_sfl_hits_folded_misses
OddEvenSortFive_M3,OddEvenSortFive,condition,ROR,6,48,0,True,3,3,,2,False,False,4,False,True,8,True,True,top2_sfl_hits_folded_misses
PairSortCheck_M2,PairSortCheck,condition,ROR,13,68,10,True,3,3,,2,False,False,6,False,True,10,True,True,top2_sfl_hits_folded_misses
TailRotateSortFive_M5,TailRotateSortFive,statement,SUR,17,16,54,True,3,,3,5,False,False,9,False,True,13,True,True,top2_sfl_hits_folded_misses
