F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
2,203,condition,control-flow,AddLoop_M1,BOR,3,,coverage_x_purity,evaluated,AddLoop,2,True,True,2,True,True,2,True,True
3,201,condition,control-flow,AddLoop_M2,BOR,8,,coverage_x_purity,evaluated,AddLoop,2,False,False,3,False,False,4,True,True
2,203,condition,control-flow,AddLoop_M3,ROR,14,,coverage_x_purity,evaluated,AddLoop,2,False,False,2,False,False,2,False,False
102,103,statement,data-flow,AddLoop_M4,AOR,20,,coverage_x_purity,evaluated,AddLoop,2,False,False,5,True,True,6,True,True
52,103,statement,data-flow,AddLoop_M5,SUR,21,,coverage_x_purity,evaluated,AddLoop,2,False,False,5,True,True,6,True,True
102,103,statement,data-flow,AddLoop_M6,AOR,31,,coverage_x_purity,evaluated,AddLoop,3,True,True,5,True,True,6,True,True
48,54,condition,control-flow,BubbleSortFive_M1,ROR,4,,coverage_x_purity,evaluated,BubbleSort,4,True,False,8,True,False,12,True,True
60,48,condition,control-flow,BubbleSortFive_M2,ROR,30,,coverage_x_purity,evaluated,BubbleSort,4,False,False,8,False,False,10,False,False
0,156,condition,control-flow,BubbleSortFive_M3,BOR,52,no_tbfv_failures,coverage_x_purity,not_detected,BubbleSort,,,,,,,,,
0,70,statement,data-flow,BubbleSortFive_M4,SUR,11,no_tbfv_failures,coverage_x_purity,not_detected,BubbleSort,,,,,,,,,
24,48,statement,data-flow,BubbleSortFive_M5,SUR,37,,coverage_x_purity,evaluated,BubbleSort,4,True,True,8,True,True,10,True,True
24,96,statement,data-flow,BubbleSortFive_M6,SUR,54,,coverage_x_purity,evaluated,BubbleSort,4,True,True,6,True,True,10,True,True
24,0,condition,control-flow,LoopBubbleSortFive_M1,ROR,10,,coverage_x_purity,evaluated,LoopBubbleSortFive,2,False,False,3,False,False,4,False,True
24,24,condition,control-flow,LoopBubbleSortFive_M2,CR,20,,coverage_x_purity,evaluated,LoopBubbleSortFive,4,False,False,6,False,False,6,False,False
24,0,condition,control-flow,LoopBubbleSortFive_M3,ROR,15,,coverage_x_purity,evaluated,LoopBubbleSortFive,2,False,False,3,False,False,4,False,False
10,45,statement,data-flow,LoopBubbleSortFive_M4,SUR,12,,coverage_x_purity,evaluated,LoopBubbleSortFive,4,False,False,8,True,True,11,True,True
24,12,statement,data-flow,LoopBubbleSortFive_M5,SUR,25,,coverage_x_purity,evaluated,LoopBubbleSortFive,4,False,False,6,True,False,6,True,False
18,30,statement,data-flow,LoopBubbleSortFive_M6,SUR,17,,coverage_x_purity,evaluated,LoopBubbleSortFive,4,False,False,8,True,True,11,True,True
127,23,condition,control-flow,LoopSelectionSortFive_M1,ROR,21,,coverage_x_purity,evaluated,LoopSelectionSortFive,2,False,False,4,False,False,8,False,True
140,30,condition,control-flow,LoopSelectionSortFive_M2,CR,4,,coverage_x_purity,evaluated,LoopSelectionSortFive,2,True,True,4,True,True,8,True,True
74,49,condition,control-flow,LoopSelectionSortFive_M3,ROR,32,,coverage_x_purity,evaluated,LoopSelectionSortFive,4,False,False,6,False,False,7,False,False
24,163,statement,data-flow,LoopSelectionSortFive_M4,SUR,34,,coverage_x_purity,evaluated,LoopSelectionSortFive,4,True,True,6,True,True,10,True,True
48,0,statement,data-flow,LoopSelectionSortFive_M5,SUR,60,,coverage_x_purity,evaluated,LoopSelectionSortFive,2,True,False,4,True,False,8,True,False
62,164,statement,data-flow,LoopSelectionSortFive_M6,SUR,23,,coverage_x_purity,evaluated,LoopSelectionSortFive,4,True,True,9,True,True,10,True,True
24,64,condition,control-flow,OddEvenSortFive_M1,CR,4,,coverage_x_purity,evaluated,OddEvenSortFive,4,True,False,8,True,False,12,True,True
48,0,condition,control-flow,OddEvenSortFive_M2,ROR,22,,coverage_x_purity,evaluated,OddEvenSortFive,2,False,False,4,False,False,8,False,True
48,0,condition,control-flow,OddEvenSortFive_M3,ROR,6,,coverage_x_purity,evaluated,OddEvenSortFive,2,False,False,4,False,True,8,True,True
24,40,statement,data-flow,OddEvenSortFive_M4,SUR,19,,coverage_x_purity,evaluated,OddEvenSortFive,5,False,True,9,True,True,13,True,True
4,0,statement,data-flow,OddEvenSortFive_M5,SUR,28,,coverage_x_purity,evaluated,OddEvenSortFive,2,True,False,4,True,False,8,True,True
0,56,statement,data-flow,OddEvenSortFive_M6,SUR,24,no_tbfv_failures,coverage_x_purity,not_detected,OddEvenSortFive,,,,,,,,,
1,164,condition,control-flow,ScoreNormalizer_M1,BOR,3,,coverage_x_purity,evaluated,ScoreNormalizer,2,True,True,2,True,True,2,True,True
1,160,condition,control-flow,ScoreNormalizer_M2,BOR,6,,coverage_x_purity,evaluated,ScoreNormalizer,2,True,True,2,True,True,3,True,True
40,125,condition,control-flow,ScoreNormalizer_M3,ROR,13,,coverage_x_purity,evaluated,ScoreNormalizer,2,False,False,5,True,False,6,True,False
60,108,statement,data-flow,ScoreNormalizer_M4,AOR,14,,coverage_x_purity,evaluated,ScoreNormalizer,2,False,True,5,True,True,6,True,True
26,131,statement,data-flow,ScoreNormalizer_M5,AOR,16,,coverage_x_purity,evaluated,ScoreNormalizer,3,True,True,5,True,True,8,True,True
48,50,statement,data-flow,ScoreNormalizer_M6,SUR,18,,coverage_x_purity,evaluated,ScoreNormalizer,2,False,False,5,True,False,8,True,True
87,141,condition,control-flow,SelectionSortFive_M1,ROR,5,,coverage_x_purity,evaluated,SelectionSort,2,False,False,4,False,True,6,False,True
216,48,condition,control-flow,SelectionSortFive_M2,ROR,35,,coverage_x_purity,evaluated,SelectionSort,2,False,False,4,False,False,9,False,False
255,40,condition,control-flow,SelectionSortFive_M3,ROR,72,,coverage_x_purity,evaluated,SelectionSort,2,False,False,4,False,False,6,False,False
49,255,statement,data-flow,SelectionSortFive_M4,SUR,19,,coverage_x_purity,evaluated,SelectionSort,3,True,False,5,True,False,7,True,False
43,261,statement,data-flow,SelectionSortFive_M5,SUR,45,,coverage_x_purity,evaluated,SelectionSort,5,True,False,7,True,False,9,True,False
61,243,statement,data-flow,SelectionSortFive_M6,SUR,64,,coverage_x_purity,evaluated,SelectionSort,4,True,False,6,True,False,8,True,False
1,31,condition,control-flow,WaterBillCaculator_M1,BOR,5,,coverage_x_purity,evaluated,WaterBillCaculator,3,False,False,5,False,False,7,False,False
27,4,condition,control-flow,WaterBillCaculator_M2,ROR,9,,coverage_x_purity,evaluated,WaterBillCaculator,3,False,True,5,True,True,7,True,True
20,11,condition,control-flow,WaterBillCaculator_M3,ROR,11,,coverage_x_purity,evaluated,WaterBillCaculator,3,True,True,5,True,True,7,True,True
29,2,statement,data-flow,WaterBillCaculator_M4,CR,10,,coverage_x_purity,evaluated,WaterBillCaculator,3,True,True,5,True,True,7,True,True
27,4,statement,data-flow,WaterBillCaculator_M5,CR,12,,coverage_x_purity,evaluated,WaterBillCaculator,3,False,True,5,True,True,7,True,True
25,2,statement,data-flow,WaterBillCaculator_M6,SUR,16,,coverage_x_purity,evaluated,WaterBillCaculator,3,True,True,5,True,True,7,True,True
1,204,condition,control-flow,SubtractLoop_M1,BOR,3,,coverage_x_purity,evaluated,SubtractLoop,2,True,True,2,True,True,2,True,True
1,203,condition,control-flow,SubtractLoop_M2,BOR,6,,coverage_x_purity,evaluated,SubtractLoop,2,True,True,2,True,True,3,True,True
0,205,condition,control-flow,SubtractLoop_M3,ROR,11,no_tbfv_failures,coverage_x_purity,not_detected,SubtractLoop,,,,,,,,,
100,105,statement,data-flow,SubtractLoop_M4,AOR,14,,coverage_x_purity,evaluated,SubtractLoop,2,False,False,5,True,True,7,True,True
50,105,statement,data-flow,SubtractLoop_M5,SUR,15,,coverage_x_purity,evaluated,SubtractLoop,2,False,False,5,True,True,7,True,True
100,105,statement,data-flow,SubtractLoop_M6,AOR,20,,coverage_x_purity,evaluated,SubtractLoop,3,True,True,5,True,True,7,True,True
62,26,condition,control-flow,MaxOfFive_M1,ROR,3,,coverage_x_purity,evaluated,MaxOfFive,4,True,True,6,True,True,10,True,True
62,16,condition,control-flow,MaxOfFive_M2,ROR,13,,coverage_x_purity,evaluated,MaxOfFive,2,False,False,6,False,True,10,True,True
0,167,condition,control-flow,MaxOfFive_M3,BOR,43,no_tbfv_failures,coverage_x_purity,not_detected,MaxOfFive,,,,,,,,,
0,148,statement,data-flow,MaxOfFive_M4,SUR,5,no_tbfv_failures,coverage_x_purity,not_detected,MaxOfFive,,,,,,,,,
0,187,statement,data-flow,MaxOfFive_M5,SUR,40,no_tbfv_failures,coverage_x_purity,not_detected,MaxOfFive,,,,,,,,,
219,0,statement,data-flow,MaxOfFive_M6,RVR,48,,coverage_x_purity,evaluated,MaxOfFive,2,True,False,6,True,False,10,True,True
60,183,condition,control-flow,MedianOfSix_M1,ROR,3,,coverage_x_purity,evaluated,MedianOfSix,2,True,False,6,True,True,10,True,True
120,72,condition,control-flow,MedianOfSix_M2,ROR,19,,coverage_x_purity,evaluated,MedianOfSix,2,False,False,6,False,True,10,False,True
0,384,condition,control-flow,MedianOfSix_M3,BOR,51,no_tbfv_failures,coverage_x_purity,not_detected,MedianOfSix,,,,,,,,,
42,216,statement,data-flow,MedianOfSix_M4,SUR,25,,coverage_x_purity,evaluated,MedianOfSix,4,True,True,8,True,True,10,True,True
24,144,statement,data-flow,MedianOfSix_M5,SUR,37,,coverage_x_purity,evaluated,MedianOfSix,4,True,True,6,True,True,10,True,True
384,0,statement,data-flow,MedianOfSix_M6,RVR,67,,coverage_x_purity,evaluated,MedianOfSix,4,False,False,8,False,True,12,False,True
1,205,condition,control-flow,TicketPrice_M1,BOR,3,,coverage_x_purity,evaluated,TicketPrice,2,True,True,2,True,True,2,True,True
1,203,condition,control-flow,TicketPrice_M2,BOR,6,,coverage_x_purity,evaluated,TicketPrice,2,True,True,2,True,True,3,True,True
0,206,condition,control-flow,TicketPrice_M3,ROR,16,no_tbfv_failures,coverage_x_purity,not_detected,TicketPrice,,,,,,,,,
100,106,statement,data-flow,TicketPrice_M4,CR,13,,coverage_x_purity,evaluated,TicketPrice,2,True,True,4,True,True,7,True,True
100,106,statement,data-flow,TicketPrice_M5,AOR,19,,coverage_x_purity,evaluated,TicketPrice,2,False,False,5,True,True,7,True,True
100,106,statement,data-flow,TicketPrice_M6,AOR,25,,coverage_x_purity,evaluated,TicketPrice,3,True,True,5,True,True,7,True,True
1,323,condition,control-flow,TaxBracket_M1,BOR,3,,coverage_x_purity,evaluated,TaxBracket,2,True,True,2,True,True,2,True,True
1,323,condition,control-flow,TaxBracket_M2,BOR,6,,coverage_x_purity,evaluated,TaxBracket,2,True,True,3,True,True,3,True,True
0,326,condition,control-flow,TaxBracket_M3,ROR,12,no_tbfv_failures,coverage_x_purity,not_detected,TaxBracket,,,,,,,,,
160,166,statement,data-flow,TaxBracket_M4,AOR,15,,coverage_x_purity,evaluated,TaxBracket,4,True,True,6,True,True,8,True,True
161,165,statement,data-flow,TaxBracket_M5,AOR,30,,coverage_x_purity,evaluated,TaxBracket,2,True,True,4,True,True,6,True,True
159,167,statement,data-flow,TaxBracket_M6,RVR,32,,coverage_x_purity,evaluated,TaxBracket,2,False,False,4,False,False,6,True,False
1,147,condition,control-flow,GradePolicy_M1,BOR,3,,coverage_x_purity,evaluated,GradePolicy,2,True,True,2,True,True,2,True,True
1,140,condition,control-flow,GradePolicy_M2,BOR,6,,coverage_x_purity,evaluated,GradePolicy,2,True,True,2,True,True,3,True,True
40,108,condition,control-flow,GradePolicy_M3,BOR,13,,coverage_x_purity,evaluated,GradePolicy,3,True,True,5,True,True,8,True,True
40,108,statement,data-flow,GradePolicy_M4,AOR,14,,coverage_x_purity,evaluated,GradePolicy,3,True,True,5,True,True,6,True,True
21,127,statement,data-flow,GradePolicy_M5,AOR,22,,coverage_x_purity,evaluated,GradePolicy,2,True,True,4,True,True,6,True,True
103,45,statement,data-flow,GradePolicy_M6,RVR,27,,coverage_x_purity,evaluated,GradePolicy,2,True,True,5,True,True,8,True,True
1,107,condition,control-flow,InventoryReorder_M1,BOR,3,,coverage_x_purity,evaluated,InventoryReorder,2,True,True,2,True,True,2,True,True
1,100,condition,control-flow,InventoryReorder_M2,BOR,6,,coverage_x_purity,evaluated,InventoryReorder,2,True,True,2,True,True,3,True,True
29,80,condition,control-flow,InventoryReorder_M3,BOR,13,,coverage_x_purity,evaluated,InventoryReorder,3,True,True,4,True,True,7,True,True
48,67,statement,data-flow,InventoryReorder_M4,AOR,14,,coverage_x_purity,evaluated,InventoryReorder,3,True,True,4,True,True,7,True,True
