F_total,P_total,fault_category,fault_kind,mutant_id,operator,primary_line,reason,scoring_strategy,status,subject,top1_budget,top1_folded_hit,top1_sfl_hit,top2_budget,top2_folded_hit,top2_sfl_hit,top3_budget,top3_folded_hit,top3_sfl_hit
1,29,condition,control-flow,BoundedIntPower_M1,BOR,3,,coverage_x_purity,evaluated,BoundedIntPower,2,True,True,2,True,True,2,True,True
1,26,condition,control-flow,BoundedIntPower_M2,BOR,6,,coverage_x_purity,evaluated,BoundedIntPower,2,True,True,2,True,True,3,True,True
0,30,condition,control-flow,BoundedIntPower_M3,ROR,18,no_tbfv_failures,coverage_x_purity,not_detected,BoundedIntPower,,,,,,,,,
24,6,statement,data-flow,BoundedIntPower_M4,AOR,25,,coverage_x_purity,evaluated,BoundedIntPower,2,False,False,4,False,False,7,True,True
12,6,statement,data-flow,BoundedIntPower_M5,SUR,26,,coverage_x_purity,evaluated,BoundedIntPower,2,False,False,4,False,False,7,True,True
24,6,statement,data-flow,BoundedIntPower_M6,RVR,28,,coverage_x_purity,evaluated,BoundedIntPower,2,False,False,4,True,False,7,True,False
1,36,condition,control-flow,SaturatedIntPower_M1,BOR,3,,coverage_x_purity,evaluated,SaturatedIntPower,2,True,True,2,True,True,2,True,True
19,19,condition,control-flow,SaturatedIntPower_M2,ROR,11,,coverage_x_purity,evaluated,SaturatedIntPower,3,False,False,6,False,False,9,False,True
0,38,condition,control-flow,SaturatedIntPower_M3,BOR,29,no_tbfv_failures,coverage_x_purity,not_detected,SaturatedIntPower,,,,,,,,,
8,30,statement,data-flow,SaturatedIntPower_M4,CR,10,,coverage_x_purity,evaluated,SaturatedIntPower,2,False,False,5,False,False,8,False,False
14,8,statement,data-flow,SaturatedIntPower_M5,AOR,26,,coverage_x_purity,evaluated,SaturatedIntPower,2,False,False,5,False,True,8,True,True
12,10,statement,data-flow,SaturatedIntPower_M6,SUR,27,,coverage_x_purity,evaluated,SaturatedIntPower,3,False,False,6,True,True,8,True,True
1,50,condition,control-flow,BoundedPerfectNumber_M1,BOR,3,,coverage_x_purity,evaluated,BoundedPerfectNumber,2,True,True,2,True,True,2,True,True
3,49,condition,control-flow,BoundedPerfectNumber_M2,BOR,9,,coverage_x_purity,evaluated,BoundedPerfectNumber,2,True,False,5,True,True,8,True,True
9,43,condition,control-flow,BoundedPerfectNumber_M3,ROR,16,,coverage_x_purity,evaluated,BoundedPerfectNumber,2,False,False,5,False,False,6,True,False
8,44,statement,data-flow,BoundedPerfectNumber_M4,CR,7,,coverage_x_purity,evaluated,BoundedPerfectNumber,2,False,True,5,True,True,8,True,True
2,50,statement,data-flow,BoundedPerfectNumber_M5,AOR,11,,coverage_x_purity,evaluated,BoundedPerfectNumber,3,True,True,4,True,True,6,True,True
2,47,statement,data-flow,BoundedPerfectNumber_M6,SUR,13,,coverage_x_purity,evaluated,BoundedPerfectNumber,3,True,True,4,True,True,6,True,True
1,51,condition,control-flow,BoundedPronicNumber_M1,BOR,3,,coverage_x_purity,evaluated,BoundedPronicNumber,2,True,True,2,True,True,2,True,True
0,53,condition,control-flow,BoundedPronicNumber_M2,BOR,11,no_tbfv_failures,coverage_x_purity,not_detected,BoundedPronicNumber,,,,,,,,,
1,3,condition,control-flow,BoundedPronicNumber_M3,LOR,12,,coverage_x_purity,evaluated,BoundedPronicNumber,2,False,False,4,True,True,4,True,True
0,53,statement,data-flow,BoundedPronicNumber_M4,CR,10,no_tbfv_failures,coverage_x_purity,not_detected,BoundedPronicNumber,,,,,,,,,
12,41,condition,control-flow,BoundedPronicNumber_M5,AOR,12,,coverage_x_purity,evaluated,BoundedPronicNumber,2,True,False,4,True,True,5,True,True
44,9,statement,data-flow,BoundedPronicNumber_M6,RVR,17,,coverage_x_purity,evaluated,BoundedPronicNumber,2,True,True,4,True,True,6,True,True
1,48,condition,control-flow,BoundedAbundantNumber_M1,BOR,3,,coverage_x_purity,evaluated,BoundedAbundantNumber,2,True,True,2,True,True,2,True,True
7,41,condition,control-flow,BoundedAbundantNumber_M2,BOR,9,,coverage_x_purity,evaluated,BoundedAbundantNumber,3,False,False,4,True,False,6,True,False
3,48,condition,control-flow,BoundedAbundantNumber_M3,ROR,16,,coverage_x_purity,evaluated,BoundedAbundantNumber,2,False,False,5,True,True,8,True,True
0,50,statement,data-flow,BoundedAbundantNumber_M4,CR,7,no_tbfv_failures,coverage_x_purity,not_detected,BoundedAbundantNumber,,,,,,,,,
9,41,statement,data-flow,BoundedAbundantNumber_M5,AOR,11,,coverage_x_purity,evaluated,BoundedAbundantNumber,3,True,True,4,True,True,6,True,True
4,34,statement,data-flow,BoundedAbundantNumber_M6,SUR,13,,coverage_x_purity,evaluated,BoundedAbundantNumber,3,True,False,5,True,True,6,True,True
1,49,condition,control-flow,BoundedPrimeClassifier_M1,BOR,3,,coverage_x_purity,evaluated,BoundedPrimeClassifier,2,True,True,2,True,True,2,True,True
19,32,condition,control-flow,BoundedPrimeClassifier_M2,BOR,8,,coverage_x_purity,evaluated,BoundedPrimeClassifier,3,True,True,6,True,True,7,True,True
34,17,condition,control-flow,BoundedPrimeClassifier_M3,ROR,14,,coverage_x_purity,evaluated,BoundedPrimeClassifier,3,False,False,4,False,False,6,True,False
19,32,statement,data-flow,BoundedPrimeClassifier_M4,CR,6,,coverage_x_purity,evaluated,BoundedPrimeClassifier,2,False,True,5,True,True,7,True,True
15,36,statement,data-flow,BoundedPrimeClassifier_M5,AOR,10,,coverage_x_purity,evaluated,BoundedPrimeClassifier,2,False,False,4,True,False,6,True,True
16,35,statement,data-flow,BoundedPrimeClassifier_M6,SUR,12,,coverage_x_purity,evaluated,BoundedPrimeClassifier,2,False,False,5,True,False,8,True,True
1,101,condition,control-flow,BoundedEvilNumber_M1,BOR,3,,coverage_x_purity,evaluated,BoundedEvilNumber,2,True,True,2,True,True,2,True,True
58,45,condition,control-flow,BoundedEvilNumber_M2,ROR,14,,coverage_x_purity,evaluated,BoundedEvilNumber,2,False,True,5,True,True,7,True,True
100,3,condition,control-flow,BoundedEvilNumber_M3,ROR,20,,coverage_x_purity,evaluated,BoundedEvilNumber,2,False,False,5,False,True,7,True,True
100,3,statement,data-flow,BoundedEvilNumber_M4,CR,8,,coverage_x_purity,evaluated,BoundedEvilNumber,2,False,False,5,True,False,7,True,True
51,52,statement,data-flow,BoundedEvilNumber_M5,AOR,15,,coverage_x_purity,evaluated,BoundedEvilNumber,2,False,False,4,False,True,7,False,True
26,15,statement,data-flow,BoundedEvilNumber_M6,AOR,17,,coverage_x_purity,evaluated,BoundedEvilNumber,2,True,False,5,True,True,7,True,True
1,171,condition,control-flow,BoundedKrishnamurthyNumber_M1,BOR,3,,coverage_x_purity,evaluated,BoundedKrishnamurthyNumber,2,True,True,2,True,True,2,True,True
3,137,condition,control-flow,BoundedKrishnamurthyNumber_M2,BOR,13,,coverage_x_purity,evaluated,BoundedKrishnamurthyNumber,2,False,False,5,True,False,8,True,True
133,40,condition,control-flow,BoundedKrishnamurthyNumber_M3,ROR,21,,coverage_x_purity,evaluated,BoundedKrishnamurthyNumber,2,False,False,5,False,False,8,True,False
